"id","course","name","intro","introformat","timeopen","timeclose","timelimit","overduehandling","graceperiod","preferredbehaviour","canredoquestions","attempts","attemptonlast","grademethod","decimalpoints","questiondecimalpoints","reviewattempt","reviewcorrectness","reviewmarks","reviewspecificfeedback","reviewgeneralfeedback","reviewrightanswer","reviewoverallfeedback","questionsperpage","navmethod","shuffleanswers","sumgrades","grade","timecreated","timemodified","password","subnet","browsersecurity","delay1","delay2","showuserpicture","showblocks","completionattemptsexhausted","completionpass","allowofflineattempts"
"2","64","Esame 2018",,"1","1531994400","0","4500","autosubmit","0","deferredfeedback","0","1","0","1","2","-1","65536","0","16","0","0","0","0","5","free","1","45.50000","45.50000","0","1532011614",,,"-","0","0","0","0","0","0","0"
"5","71","Test di ingresso",,"1","0","0","0","autosubmit","0","deferredfeedback","0","0","0","1","2","-1","69904","4368","4368","4368","4368","4368","4368","1","free","1","2.00000","10.00000","0","1526234589",,,"-","0","0","0","0","0","0","0"
"6","74","Esame 2018",,"1","1516100400","1516111200","4500","autosubmit","0","deferredfeedback","0","1","0","1","2","-1","65536","0","16","0","0","0","0","5","free","1","45.50000","45.50000","0","1516100928",,,"-","0","0","0","0","0","0","0"
"62","132","autoGenRes10",,"1","0","0","0","autosubmit","0","deferredfeedback","0","0","0","1","2","-1","69904","4368","4368","4368","4368","4368","4368","1","free","1","0.00000","10.00000","0","1559659320",,,"-","0","0","0","0","0","0","0"
"63","132","autoGenRes10",,"1","0","0","0","autosubmit","0","deferredfeedback","0","0","0","1","2","-1","69904","4368","4368","4368","4368","4368","4368","1","free","1","0.00000","10.00000","0","1559659454",,,"-","0","0","0","0","0","0","0"
"64","132","autoGenRes3",,"1","0","0","0","autosubmit","0","deferredfeedback","0","0","0","1","2","-1","69904","4368","4368","4368","4368","4368","4368","1","free","1","0.00000","10.00000","0","1559659464",,,"-","0","0","0","0","0","0","0"
"65","132","autoGenRes5",,"1","0","0","0","autosubmit","0","deferredfeedback","0","0","0","1","2","-1","69904","4368","4368","4368","4368","4368","4368","1","free","1","0.00000","10.00000","0","1559659845",,,"-","0","0","0","0","0","0","0"
"66","132","autoGenRes5",,"1","0","0","0","autosubmit","0","deferredfeedback","0","0","0","1","2","-1","69904","4368","4368","4368","4368","4368","4368","1","free","1","0.00000","10.00000","0","1559659845",,,"-","0","0","0","0","0","0","0"
"67","132","autoGenRes5",,"1","0","0","0","autosubmit","0","deferredfeedback","0","0","0","1","2","-1","69904","4368","4368","4368","4368","4368","4368","1","free","1","0.00000","10.00000","0","1559659846",,,"-","0","0","0","0","0","0","0"
"68","132","autoGenRes5",,"1","0","0","0","autosubmit","0","deferredfeedback","0","0","0","1","2","-1","69904","4368","4368","4368","4368","4368","4368","1","free","1","0.00000","10.00000","0","1559659846",,,"-","0","0","0","0","0","0","0"
"69","132","autoGenRes5",,"1","0","0","0","autosubmit","0","deferredfeedback","0","0","0","1","2","-1","69904","4368","4368","4368","4368","4368","4368","1","free","1","0.00000","10.00000","0","1559659846",,,"-","0","0","0","0","0","0","0"
"70","65","resprogettomm6",,"1","0","0","0","autosubmit","0","deferredfeedback","0","0","0","1","2","-1","69904","4368","4368","4368","4368","4368","4368","1","free","1","0.00000","10.00000","0","1559661223",,,"-","0","0","0","0","0","0","0"
"71","65","resprogettomm5",,"1","0","0","0","autosubmit","0","deferredfeedback","0","0","0","1","2","-1","69904","4368","4368","4368","4368","4368","4368","1","free","1","0.00000","10.00000","0","1559661224",,,"-","0","0","0","0","0","0","0"
"72","65","resprogettomm4",,"1","0","0","0","autosubmit","0","deferredfeedback","0","0","0","1","2","-1","69904","4368","4368","4368","4368","4368","4368","1","free","1","0.00000","10.00000","0","1559661224",,,"-","0","0","0","0","0","0","0"
"73","65","resprogettomm3",,"1","0","0","0","autosubmit","0","deferredfeedback","0","0","0","1","2","-1","69904","4368","4368","4368","4368","4368","4368","1","free","1","0.00000","10.00000","0","1559661225",,,"-","0","0","0","0","0","0","0"
"74","65","resprogettomm2",,"1","0","0","0","autosubmit","0","deferredfeedback","0","0","0","1","2","-1","69904","4368","4368","4368","4368","4368","4368","1","free","1","0.00000","10.00000","0","1559661225",,,"-","0","0","0","0","0","0","0"
"75","65","resprogettomm1",,"1","0","0","0","autosubmit","0","deferredfeedback","0","0","0","1","2","-1","69904","4368","4368","4368","4368","4368","4368","1","free","1","0.00000","10.00000","0","1559661226",,,"-","0","0","0","0","0","0","0"
"76","133","resprogettomm3",,"1","0","0","0","autosubmit","0","deferredfeedback","0","0","0","1","2","-1","69904","4368","4368","4368","4368","4368","4368","1","free","1","0.00000","10.00000","0","1559661225",,,"-","0","0","0","0","0","0","0"
